Date,HOUR_BIN,passenger_count
2018-04-07,20,9619.0
2018-04-08,0,6820.0
2018-04-08,4,2323.0
2018-04-08,8,4609.0
2018-04-08,12,7280.0
2018-04-08,16,7961.0
2018-04-08,20,5750.0
2018-04-09,0,1601.0
2018-04-09,4,2576.0
2018-04-09,8,7286.0
2018-04-09,12,6563.0
2018-04-09,16,9195.0
2018-04-09,20,5537.0
2018-04-10,0,1459.0
2018-04-10,4,2441.0
2018-04-10,8,7629.0
2018-04-10,12,6863.0
2018-04-10,16,9047.0
2018-04-10,20,6094.0
2018-04-11,0,1373.0
2018-04-11,4,2351.0
2018-04-11,8,7339.0
2018-04-11,12,7066.0
2018-04-11,16,9525.0
2018-04-11,20,6910.0
2018-04-12,0,1806.0
2018-04-12,4,2459.0
2018-04-12,8,7773.0
2018-04-12,12,7293.0
2018-04-12,16,9585.0
2018-04-12,20,7077.0
2018-04-13,0,2110.0
2018-04-13,4,2554.0
2018-04-13,8,7410.0
2018-04-13,12,6818.0
2018-04-13,16,10735.0
2018-04-13,20,9915.0
2018-04-14,0,6097.0
2018-04-14,4,2248.0
2018-04-14,8,5769.0
2018-04-14,12,8514.0
2018-04-14,16,10604.0
2018-04-14,20,10936.0
2018-04-15,0,6923.0
2018-04-15,4,2156.0
2018-04-15,8,4652.0
2018-04-15,12,7515.0
2018-04-15,16,8734.0
2018-04-15,20,5282.0
2018-04-16,0,1291.0
2018-04-16,4,2541.0
2018-04-16,8,7079.0
2018-04-16,12,6104.0
2018-04-16,16,8572.0
2018-04-16,20,5661.0
2018-04-17,0,1397.0
2018-04-17,4,2480.0
2018-04-17,8,7785.0
2018-04-17,12,7467.0
2018-04-17,16,9770.0
2018-04-17,20,6586.0
2018-04-18,0,1672.0
2018-04-18,4,2497.0
2018-04-18,8,7722.0
2018-04-18,12,6900.0
2018-04-18,16,9115.0
2018-04-18,20,6616.0
2018-04-19,0,1983.0
2018-04-19,4,2428.0
2018-04-19,8,7799.0
2018-04-19,12,7786.0
2018-04-19,16,10521.0
2018-04-19,20,7840.0
2018-04-20,0,2440.0
2018-04-20,4,2414.0
2018-04-20,8,7484.0
2018-04-20,12,7164.0
2018-04-20,16,11426.0
2018-04-20,20,9899.0
2018-04-21,0,5642.0
2018-04-21,4,2229.0
2018-04-21,8,5860.0
2018-04-21,12,7987.0
2018-04-21,16,9658.0
2018-04-21,20,9187.0
2018-04-22,0,6291.0
2018-04-22,4,2075.0
2018-04-22,8,4599.0
2018-04-22,12,6887.0
2018-04-22,16,7724.0
2018-04-22,20,5619.0
2018-04-23,0,1571.0
2018-04-23,4,2560.0
2018-04-23,8,7010.0
2018-04-23,12,6530.0
2018-04-23,16,8502.0
